sample_id,label,rated_current_A,rms_IA,rms_IB,rms_IC,nema_imbalance_pct,thd_IA_pct
0,normal_3phase,63,30.874987556682157,31.183741429988235,30.425748419695164,1.3053348854818827,1.9819617498717512
1,normal_3phase,16,6.881395750195279,6.796900727625905,6.587595221142432,2.482526024194504,2.893795273533006
2,normal_3phase,25,12.599970641152218,12.091309983240672,12.69317041429351,2.970542720357386,3.2714300916344694
3,normal_3phase,100,52.31342593110517,54.03447227563584,53.7663475966344,1.9823145617524522,3.2563908025149053
4,normal_3phase,32,10.899626989075164,10.650188954474709,11.256883411560507,2.9382744940259733,3.107242256861052
5,normal_3phase,100,74.33950554122747,75.50545746870176,72.13967299089708,2.507208214193328,1.325871647382275
6,normal_3phase,63,21.357629245811538,21.40021686483881,21.084015413222257,0.9238691825387477,2.5457747515507907
7,normal_3phase,63,52.41399169114468,51.00037235089357,50.54707395858613,2.1307524243391542,1.7623488719010731
8,normal_3phase,32,22.693858094153285,23.14640802233637,23.99642867989689,3.0823211915851205,3.1831280214098516
9,normal_3phase,32,18.698276193281245,18.822832613432734,18.203652714005823,1.9987584482138006,2.186847454868581
10,normal_3phase,20,13.31999943381261,13.055255348710235,12.598129325516567,3.0251315311255063,3.095869235156364
11,normal_3phase,40,25.965484034411382,26.492884048454563,25.494552314362068,1.9572477083632265,2.796768810600544
12,normal_3phase,40,29.8146093943314,28.737980748510456,29.518802206461398,2.1090277491489084,3.4345348171082053
13,normal_3phase,25,11.618527271979406,11.622292340459147,11.78212828309964,0.9235000854232097,2.915992973600619
14,normal_3phase,16,7.795356853129926,7.786958347459639,8.029681136510838,2.0203589123124654,1.512754935518305
15,normal_3phase,63,40.45732684574519,40.0407130094014,41.86201806268291,2.636478214407612,3.247757448920963
16,normal_3phase,25,8.105979786739587,7.71241199432268,8.091822596693687,3.23283757509948,2.9417215020479297
17,normal_3phase,63,48.88143148839141,47.7100968275219,50.37945755198249,2.8355166588543255,2.5793552454047806
18,normal_3phase,40,23.468896002483095,23.02900116355121,23.046696182595948,1.2396285854460647,2.304743091860163
19,normal_3phase,25,16.984294558984224,17.519994323467717,17.883777048733776,2.739521355944006,1.318000991927071
20,normal_3phase,20,14.298953683603145,14.97618086792223,14.794588576392544,2.6613783654239453,2.4541479079404787
21,normal_3phase,25,16.263225199422237,16.220569069233708,16.795484477266992,2.246734761519289,2.453524427442837
22,normal_3phase,63,19.91511141137919,20.226146762857176,19.35742147337565,2.39738971664794,2.7066936098237555
23,normal_3phase,20,8.240784838382327,8.166202010343115,7.859004131244635,2.8392765278768044,3.2538647151748674
24,normal_3phase,32,17.579872519286756,17.919712304920107,16.97322615667241,2.9598805204836327,1.918941256567563
25,normal_3phase,32,26.5917649658235,25.54477060674571,26.130548475952626,2.086154413533377,2.2001747211316682
26,normal_3phase,100,47.216542280824896,45.998600657207255,46.47070779337398,1.4058518459413696,1.7922751428220436
27,normal_3phase,20,11.954365569392762,12.142224728130389,12.100393910389261,0.922418005291898,2.484143066885134
28,normal_3phase,25,12.374777121864138,12.734137583118683,12.590826072495688,1.5262954067420256,2.8660348462046534
29,normal_3phase,25,16.70329852990601,16.9299007328488,16.520219140818504,1.2686748285330918,1.580619195478827
30,normal_3phase,63,26.461555231931925,26.113688778310546,27.361897101212126,2.6877996413525342,3.1931496003115485
31,normal_3phase,20,12.93687647296899,13.121458423706187,12.721839873773318,1.5849726122157024,2.13169469937783
32,normal_3phase,63,42.2343370754449,41.048114363664816,43.153235280471044,2.6031761395087893,1.7470587719040105
33,normal_3phase,40,29.660659281510892,29.33465649275557,30.49643027098537,2.2320994459391272,2.8915942057161255
34,normal_3phase,40,15.95380310108538,16.507520673793827,16.13804504230384,1.8995991647838706,2.911276057321763
35,normal_3phase,40,30.519183796979043,31.22584101414234,31.25881556508966,1.5550852302193778,3.198499271488478
36,normal_3phase,20,16.31265334144792,16.391433391750244,16.391143006779394,0.32033604172368957,3.212294752643933
37,normal_3phase,63,39.38286487436721,38.30290880396665,39.91373349988249,2.28808847146783,3.0600198084651242
38,normal_3phase,20,14.889870939414616,15.14821436138759,15.097251459975391,1.031838856041304,2.312740945525478
39,normal_3phase,25,13.246685382567733,13.221453804547187,12.932797226759979,1.5292650083740291,1.937922897648265
40,normal_3phase,32,13.24270052161923,12.827393238110734,13.327690033502007,2.323998942771343,2.7402116770159806
41,normal_3phase,63,40.53565720666877,39.88321389300958,40.79035908617556,1.2866912069280634,2.968276466431459
42,normal_3phase,63,51.002964863712975,51.11421210038622,49.433166328928785,2.145059018369663,2.4771574860432573
43,normal_3phase,40,26.829403380901933,26.56105740444588,27.16189080347496,1.1586512412839989,1.5238052433618139
44,normal_3phase,32,10.287452063195763,9.731942043299147,9.917992218491348,3.089681425316508,2.4090855608380752
45,normal_3phase,20,15.250994758244442,15.337423463425916,15.14840493792638,0.6375789258054055,3.3197914358013403
46,normal_3phase,20,14.52012314653942,14.15374054996564,14.353652987105104,1.3161229773910406,2.3903535576814456
47,normal_3phase,25,13.947780908461173,13.869737114790057,13.6575039953649,1.2115967829011107,2.8229243357432274
48,normal_3phase,16,7.726157690673703,7.931190819980944,7.69968229663539,1.8689946346282873,1.9889256117233147
49,normal_3phase,25,16.991277096939147,16.946753856973285,16.727997746427004,0.9513977578168701,2.2846486011686693
50,normal_3phase,63,26.71254298834442,26.038287127891035,25.639907211352888,2.2284413910765473,2.4552982372431638
51,normal_3phase,63,45.666734608011865,43.78345553664053,44.09820461013892,2.5846878021294137,2.312307911804613
52,normal_3phase,32,20.972774942656745,21.37723086940399,21.1534419884135,0.9893081863554649,3.550247656665314
53,normal_3phase,20,8.519149415454105,8.297355696385686,8.232445528638435,2.030015600739278,2.3838235885442964
54,normal_3phase,32,21.549526381821348,21.521628907852765,21.148484934036542,1.2055274973013959,2.683726892445107
55,normal_3phase,25,9.517985611089136,9.491487716103512,9.616834487158133,0.7831804525895956,1.6995949033634035
56,normal_3phase,40,22.88157757366152,22.38652392175224,23.28470544297368,2.0323532110391054,2.7276011185756874
57,normal_3phase,16,11.169868816273485,11.10872910524429,11.137802265925778,0.27892370466509,2.1732060923982353
58,normal_3phase,100,31.08754318266248,31.16189105711726,30.19801488203562,2.0048194874540797,1.980023253742636
59,normal_3phase,40,30.28703519337312,30.253986490432464,30.186258369839162,0.18572687732075274,1.8516732858398977
60,normal_3phase,40,26.498670878442834,26.943029381132803,26.507266772199987,1.1008536373458828,2.911618876921365
61,normal_3phase,100,58.017434937547115,56.82596075284314,58.07459539958706,1.4111364676541134,2.7274498971633565
62,normal_3phase,40,22.341495822945646,22.998837109319986,22.923028808027322,1.8148450937925444,2.7925611246450086
63,normal_3phase,16,13.1348414350106,13.381298303059003,12.819866573071174,2.2280009437872192,2.3165980834025155
64,normal_3phase,16,5.040981874498632,4.9137825222202265,5.105619421481542,2.118380615842042,2.0310065527051218
65,normal_3phase,63,45.70991138906163,44.749900497980214,43.39469392888896,2.742099719996734,2.547530983922351
66,normal_3phase,16,7.791687276124594,7.737014419815999,7.987483639614418,1.8976954674557112,3.407648256386362
67,normal_3phase,40,23.253472392334736,23.293040990707212,23.317449008411835,0.14820976494999805,2.435088498679256
68,normal_3phase,25,12.42732600404142,12.584327084603466,12.464960731431205,0.7374397138413213,2.3995003462424567
69,normal_3phase,20,8.962501214350247,9.131578528044216,9.005813643829077,1.0879828701700767,1.988868423015425
70,normal_3phase,25,13.877905094132702,13.808711351444227,13.409496913392655,2.111203585481945,2.8288788302368233
71,normal_3phase,16,4.8980169010337,4.727196711224946,4.84768454839315,2.0127829525434566,2.708005755278503
72,normal_3phase,32,23.166459939440884,23.461698891051622,23.31188066283854,0.6363410473154744,1.296803076532076
73,normal_3phase,40,18.020135073220114,18.06286569472152,18.321129730453936,1.0279710158255222,2.170428536812399
74,normal_3phase,63,49.64425113536939,47.62103501596007,48.51310458055415,2.163806760606354,2.2703755843902464
75,normal_3phase,25,12.731024146236624,12.271940847778147,12.55654745111466,1.9800307653674645,1.2547428521292698
76,normal_3phase,40,32.072527388827716,31.551978608596425,31.21274133518458,1.4554775393150359,2.3755270917678413
77,normal_3phase,20,12.314573811740066,12.145828011191066,12.080109554091358,1.1034603593921006,2.8923040212334397
78,normal_3phase,20,12.790784271797065,12.275472799361793,12.15642731938528,3.0886230898662865,2.4773718990704596
79,normal_3phase,16,11.572713772867392,11.96147137707393,11.396323242040024,2.730867035927529,2.868713980212542
80,normal_3phase,100,56.20420161496713,58.56919904592239,56.09917025040078,2.8296093402270674,2.5062612393935826
