sample_id,label,rated_current_A,rms_line_A,rms_neutral_A,over_rated_ratio,peak_A,crest_factor,thd_pct,h3_ratio,h5_ratio,h7_ratio,h9_ratio,hf_band_energy_1p5_2p5kHz,di_dt_max_A_per_s,zero_crossing_noise_std,leakage_rms_A,kurtosis,skew
0,normal,6.0,3.250446340597126,3.2429521974517956,0.5417410567661877,4.609804581558807,1.418206639059223,3.1308538540796214,0.027206214133886533,0.015486074322690424,0.00022218693758318254,0.00015621773089479746,0.00016096859776757862,2042.227910614678,0.58159999751183,0.014872126237571878,-1.5440641453656894,-4.076086513401877e-05
1,normal,40.0,33.493456323727095,33.41643065718654,0.8373364080931773,47.47319675100057,1.4173872141094233,1.7637065054510006,0.015828238059376026,0.0077680699325540364,0.00014985023026911626,0.00010599844818048321,0.013965165770322578,19522.4656875841,5.130628877921638,0.15591584719159965,-1.5049871937841988,-0.00023306870011694433
2,normal,6.0,5.0429242592229455,5.041635880263071,0.8404873765371575,7.277477437984698,1.4431066306879183,2.9838218940833237,0.028131667927529993,0.009929579222317353,0.0002969362091595399,0.0001778964738994671,0.0002758646430304719,2711.645132202156,0.7887463927760561,0.020327818829789387,-1.475841259570516,-0.00010213896664527708
3,normal,40.0,33.15190436870222,33.03000203416842,0.8287976092175555,48.19356396486402,1.4537193226494853,1.777275974198873,0.015176384960673448,0.009238336524484268,9.961109376421336e-05,0.00011559276034569826,0.018969478415477095,18877.702244743472,5.157798192666415,0.1812479076989421,-1.4761514913686684,0.00023704528608954785
4,normal,40.0,22.139986449655567,22.05387033713368,0.5534996612413892,32.15861039873548,1.4525126503762276,1.8955645982307743,0.014258931396083351,0.01244219611618194,0.00047088050580056275,0.00037991759218278584,0.02870155384666404,15746.712886411635,3.8029037737974285,0.1225559217824407,-1.506942234526353,-0.0011953432246271161
5,normal,10.0,7.766637397038169,7.7324860390774965,0.7766637397038169,10.809471130203478,1.3917826436617113,2.9769075233003766,0.02298307627768726,0.01891855177184714,7.856360241864294e-05,6.06145591816741e-05,0.0006470241216079801,4381.205451188131,1.2539105504232837,0.04637888575738102,-1.541924221133791,-7.121024775640314e-05
6,normal,20.0,14.041253933465587,14.007497798997596,0.7020626966732794,20.075680053290604,1.4297640472132582,2.588288550996728,0.02300802277331263,0.011826027133248136,0.00043415472582134255,0.0002971551440073291,0.006006415375765408,9001.625862931845,2.100497615703088,0.06451970843594554,-1.4906776677126736,-3.0119745299105842e-05
7,normal,16.0,7.971293068527156,7.941069571424164,0.49820581678294723,11.428818127042778,1.4337470755821449,2.988168599410752,0.02796883115842598,0.01050942061982335,0.00020557449293557586,0.0002281514215610452,0.0007912875479583526,4646.579858155576,1.395235570780963,0.044368485137139244,-1.5013784688281484,0.00010695354460745592
8,normal,16.0,12.47868582683974,12.434160111495258,0.7799178641774838,18.034302473962256,1.4452084716908273,2.308954717855958,0.02208412658836727,0.006722559780233923,9.55478282532435e-05,0.0001489971726128452,0.0028005581136206137,7075.419123756932,1.9321409260305036,0.0664649109247842,-1.4848679998851861,-0.00016474263445588199
9,normal,16.0,8.651623055577305,8.625372937110168,0.5407264409735816,12.5674383486397,1.4526104831954552,2.433402925925921,0.022629045956402295,0.008939538737468734,0.00021287094788482457,6.332440514679336e-05,0.0010707848291411077,4762.591813199544,1.2521303894202054,0.043343523438901584,-1.4561156347637423,-8.805944402199878e-05
10,normal,20.0,9.691121879401253,9.662447476146154,0.48455609397006266,13.596256318060755,1.4029599963608974,2.643051102623509,0.02178357224141741,0.014938395320565167,0.000273304404425974,0.0001721348255719081,0.004054610601701652,6495.69094736453,1.5345659792161621,0.047916242954433676,-1.531819778138487,2.1573536308655304e-05
