sample_id,label,rated_current_A,mean_rms_A,std_rms_A,duty_cycle_pct,cycles_per_hour,max_continuous_on_min
0,normal_duty_cycle,16,5.2880729410122695,5.254119173070539,49.27777777777778,1.0,14.783333333333333
1,normal_duty_cycle,32,11.9265002045488,10.89198779514373,53.55555555555556,2.0,9.366666666666667
2,normal_duty_cycle,6,1.7861634452968778,1.493447307242628,57.666666666666664,2.0,14.833333333333334
3,normal_duty_cycle,10,4.565609832339495,3.34098972796361,64.38888888888889,2.0,13.766666666666667
4,normal_duty_cycle,6,1.7417801629523266,1.840646092273306,45.77777777777778,2.0,13.416666666666666
5,normal_duty_cycle,16,5.7951696352832816,4.251000767773467,64.11111111111111,2.0,10.933333333333334
6,normal_duty_cycle,6,2.2713256178366636,1.9156348160872847,57.55555555555556,3.0,8.633333333333333
7,normal_duty_cycle,16,6.0590606476994155,5.733431941361905,51.72222222222223,2.0,9.25
8,normal_duty_cycle,10,3.9563160913241386,2.8707631555774635,64.66666666666666,2.0,14.85
9,normal_duty_cycle,20,8.867995416214917,7.026450210676326,60.55555555555555,3.0,9.083333333333334
10,normal_duty_cycle,10,3.2203267050610727,3.5091430121340967,44.5,2.0,9.066666666666666
11,normal_duty_cycle,32,9.845432434112286,10.725512404125014,44.611111111111114,2.0,8.416666666666666
12,normal_duty_cycle,32,11.131387639801208,11.540301440491515,47.0,2.0,11.6
13,normal_duty_cycle,6,2.3215793207200397,1.932354780871908,58.111111111111114,2.0,10.65
14,normal_duty_cycle,20,6.911952926498671,4.842365001141992,66.22222222222223,2.0,11.833333333333334
15,normal_duty_cycle,6,2.0602867397250946,1.7450146013360588,57.166666666666664,2.0,13.233333333333333
16,normal_duty_cycle,6,2.2260429034564595,1.8814838991605876,57.388888888888886,2.0,14.6
17,normal_duty_cycle,10,2.345097314991253,2.77552454528654,39.94444444444444,2.0,10.983333333333333
18,normal_duty_cycle,10,4.295847105341166,3.0072557697021023,66.38888888888889,2.0,10.216666666666667
19,normal_duty_cycle,32,11.366084570890512,10.892841533318634,51.0,2.0,13.816666666666666
20,normal_duty_cycle,16,3.845880444201201,4.102100983008783,45.111111111111114,2.0,9.833333333333334
21,normal_duty_cycle,20,5.559386026739241,6.208195245975744,43.22222222222222,1.0,12.966666666666667
22,normal_duty_cycle,6,2.0956107207744235,1.7495670046978777,57.99999999999999,2.0,10.366666666666667
23,normal_duty_cycle,6,2.5987862968955846,1.9134313584197848,64.05555555555556,2.0,12.233333333333333
24,normal_duty_cycle,20,5.926651320858457,6.198148906957181,46.61111111111111,2.0,9.666666666666666
25,normal_duty_cycle,6,2.3544467201726844,1.8152549022933027,61.83333333333333,2.0,12.9
26,normal_duty_cycle,32,15.093281875330431,11.38511734295143,63.0,3.0,9.45
27,normal_duty_cycle,32,7.299100977707064,8.941267841498037,38.333333333333336,1.0,11.5
28,normal_duty_cycle,16,5.303730937798452,3.909590020633192,63.83333333333333,2.0,12.516666666666667
29,normal_duty_cycle,10,2.9752204380764744,3.437119307806147,41.5,1.0,12.45
30,normal_duty_cycle,6,2.3195136281789885,2.0580299010861407,54.94444444444444,2.0,12.683333333333334
31,normal_duty_cycle,16,5.2211874475420155,5.025893707334234,50.66666666666667,2.0,13.633333333333333
32,normal_duty_cycle,20,5.952875193487483,5.15953119922425,55.833333333333336,2.0,9.866666666666667
33,normal_duty_cycle,20,6.004764958854603,6.692380634545842,43.333333333333336,1.0,13.0
